0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648
0,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,-2147483648
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,-2147483648
0,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,-2147483648
0,8,1,15,10,15,1,1,1,15,10,15,1,1,14,14,14,1,1,15,10,15,1,1,1,15,10,15,1,8,-2147483648
0,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,-2147483648
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,-2147483648
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,0
0,8,1,15,10,15,1,1,1,15,10,15,1,1,14,14,14,1,1,15,10,15,1,1,1,15,10,15,1,8,0
0,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2
0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,0
0,8,1,15,10,15,1,1,1,15,10,15,1,1,14,14,14,1,1,15,10,15,1,1,1,15,10,15,1,8,0
0,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,0
1073741824,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,-1073741824
1073741824,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,-1073741824
1073741824,8,1,15,10,15,1,1,1,15,10,15,1,1,14,14,14,1,1,15,10,15,1,1,1,15,10,15,1,8,-1073741824
1073741824,8,1,1,15,1,1,1,1,1,15,1,1,1,14,14,14,1,1,1,15,1,1,1,1,1,15,1,1,8,-1073741824
1073741824,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,8,-1073741824
1073741824,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,-1073741824
1073741824,1073741824,1073741824,1073741824,1073741824,1073741824,1073741824,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1073741824,-1073741824,-1073741824,-1073741824,-1073741824,-1073741824,-1073741824
