0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,8,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,8,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
